Points_0,Points_1,Points_2,uh_0,uh_1,uh_2
-3.69749,0.347385,0,1,0,0
-3.71171,0.123745,0,1,0,0
-3.71245,-0.0990404,0,1,0,0
-3.69972,-0.32277,0,1,0,0
-3.67293,-0.549262,0,1,0,0
-3.63085,-0.780375,0,1,0,0
-3.57151,-1.01804,0,1,0,0
-3.49196,-1.26425,0,1,0,0
-3.388,-1.52104,0,1,0,0
-3.25371,-1.79039,0,1,0,0
-3.08071,-2.07397,0,1,0,0
-2.85707,-2.3726,0,1,0,0
-2.56561,-2.6851,0,1,0,0
-2.18121,-3.00573,0,1,0,0
-1.6669,-3.31867,0,1,0,0
-0.96869,-3.58521,0,1,0,0
-0.0123578,-3.71375,0,1,0,0
0.0141979,3.37331,0,1,0,0
-0.855325,3.2631,0,1,0,0
-1.49134,3.02578,0,1,0,0
-1.96063,2.74506,0,1,0,0
-2.31198,2.45645,0,1,0,0
-2.57886,2.17461,0,1,0,0
-2.78403,1.90489,0,1,0,0
-2.94311,1.6485,0,1,0,0
-3.06693,1.40476,0,1,0,0
-3.16312,1.17223,0,1,0,0
-3.23706,0.949141,0,1,0,0
-3.29259,0.733676,0,1,0,0
-3.33239,0.524042,0,1,0,0
-3.35827,0.318501,0,1,0,0
-3.37137,0.115373,0,1,0,0
-3.37222,-0.0869898,0,1,0,0
-3.36083,-0.290221,0,1,0,0
-3.33668,-0.495972,0,1,0,0
-3.29865,-0.705934,0,1,0,0
-3.24494,-0.921859,0,1,0,0
-3.17287,-1.14556,0,1,0,0
-3.07865,-1.3789,0,1,0,0
-2.95688,-1.62366,0,1,0,0
-2.79997,-1.88139,0,1,0,0
-2.59707,-2.15282,0,1,0,0
-2.33258,-2.43691,0,1,0,0
-1.98367,-2.72846,0,1,0,0
-1.51675,-3.01312,0,1,0,0
-0.882763,-3.25579,0,1,0,0
-0.0141979,-3.37331,0,1,0,0
0.0158708,3.06382,0,1,0,0
-0.773977,2.96449,0,1,0,0
-1.35185,2.7495,0,1,0,0
-1.77834,2.49495,0,1,0,0
-2.09771,2.23313,0,1,0,0
-2.34035,1.97738,0,1,0,0
-2.52694,1.73258,0,1,0,0
-2.67165,1.49986,0,1,0,0
-2.78432,1.27859,0,1,0,0
