Points_0,Points_1,Points_2,ph,uh_0,uh_1,uh_2
0.408163,-6,0,1.18148,0.8,0,0
0.407791,-5.42909,0,1.00373,0.834078,-0.00662662,0
0.407452,-4.91008,0,1.17468,0.801526,-0.0164313,0
0.407144,-4.43825,0,1.04295,0.804242,0.00434211,0
0.406864,-4.00931,0,1.1465,0.797662,-0.00440243,0
0.40661,-3.61937,0,1.07261,0.796618,0.00207526,0
0.406378,-3.26488,0,1.12579,0.797476,-0.00292264,0
0.406168,-2.94262,0,1.08951,0.797193,-0.000141736,0
0.405977,-2.64965,0,1.11471,0.797604,-0.00254672,0
0.405803,-2.38331,0,1.09857,0.797455,-0.00159311,0
0.405645,-2.14119,0,1.10944,0.797748,-0.00279881,0
0.405502,-1.92108,0,1.10298,0.797885,-0.00280825,0
0.405371,-1.72098,0,1.10723,0.798176,-0.00364641,0
0.405252,-1.53907,0,1.10492,0.798569,-0.0041044,0
0.405144,-1.37369,0,1.10635,0.79902,-0.00489341,0
0.405046,-1.22336,0,1.10554,0.799649,-0.00562646,0
0.404957,-1.08668,0,1.10577,0.800374,-0.00652159,0
0.404876,-0.962437,0,1.10526,0.801325,-0.00747216,0
0.404802,-0.849485,0,1.10486,0.802447,-0.00853706,0
0.404735,-0.746801,0,1.10411,0.803869,-0.00968897,0
0.404674,-0.653453,0,1.10314,0.805539,-0.0109326,0
0.404619,-0.56859,0,1.10189,0.807555,-0.0122387,0
0.404569,-0.491442,0,1.10029,0.809863,-0.0135745,0
0.404523,-0.421308,0,1.09839,0.812418,-0.0149036,0
0.404481,-0.35755,0,1.09618,0.814135,-0.0161606,0
0.428571,-6,0,1.17764,0.8,0,0
0.428211,-5.42912,0,1.00007,0.834703,-0.00668181,0
0.427884,-4.91015,0,1.17051,0.801045,-0.0166555,0
0.427586,-4.43835,0,1.03904,0.803967,0.00423876,0
0.427315,-4.00944,0,1.14222,0.797799,-0.0043796,0
0.427069,-3.61952,0,1.06871,0.796533,0.00203986,0
0.426846,-3.26505,0,1.12162,0.797578,-0.00296086,0
0.426642,-2.94281,0,1.08555,0.797155,-0.000163814,0
0.426457,-2.64986,0,1.11058,0.797674,-0.00254884,0
0.426289,-2.38354,0,1.09456,0.797453,-0.00160108,0
0.426137,-2.14143,0,1.10534,0.797807,-0.0027919,0
0.425998,-1.92134,0,1.09893,0.797923,-0.00279356,0
0.425871,-1.72125,0,1.10314,0.798245,-0.00361852,0
0.425757,-1.53935,0,1.10085,0.798641,-0.00406383,0
0.425652,-1.37399,0,1.10225,0.799115,-0.00483301,0
0.425557,-1.22366,0,1.10144,0.799762,-0.00554118,0
0.425471,-1.08699,0,1.10165,0.800513,-0.00640156,0
0.425393,-0.962756,0,1.10113,0.801491,-0.00730562,0
0.425322,-0.849811,0,1.10071,0.802647,-0.00830793,0
0.425257,-0.747134,0,1.09994,0.804105,-0.00937769,0
0.425198,-0.653791,0,1.09894,0.805813,-0.0105152,0
0.425144,-0.568934,0,1.09766,0.807862,-0.0116884,0
0.425096,-0.491791,0,1.09605,0.810201,-0.0128667,0
0.425051,-0.421661,0,1.09413,0.812777,-0.0140189,0
0.425011,-0.357907,0,1.09192,0.814501,-0.0150867,0
0.44898,-6,0,1.17377,0.8,0,0
0.448632,-5.42916,0,0.996398,0.835333,-0.00673061,0
0.448315,-4.91021,0,1.16634,0.800566,-0.0168588,0
0.448028,-4.43845,0,1.03514,0.803684,0.0041341,0
0.447766,-4.00957,0,1.13795,0.797936,-0.00436466,0
0.447529,-3.61967,0,1.0648,0.79645,0.00200562,0
0.447313,-3.26523,0,1.11745,0.797678,-0.00299852,0
0.447116,-2.943,0,1.0816,0.797115,-0.000187161,0
0.446938,-2.65007,0,1.10644,0.797743,-0.00255021,0
0.446776,-2.38377,0,1.09055,0.797451,-0.00160804,0
0.446628,-2.14168,0,1.10123,0.797864,-0.00278433,0
0.446494,-1.9216,0,1.09489,0.79796,-0.00277786,0
0.446372,-1.72152,0,1.09905,0.798312,-0.00358907,0
0.446261,-1.53963,0,1.09678,0.798711,-0.00402133,0
0.44616,-1.37428,0,1.09815,0.799208,-0.00477022,0
0.446069,-1.22396,0,1.09734,0.799871,-0.0054528,0
0.445985,-1.08731,0,1.09754,0.800645,-0.00627756,0
0.44591,-0.963075,0,1.09701,0.801649,-0.0071341,0
0.445841,-0.850137,0,1.09656,0.802833,-0.00807264,0
0.445778,-0.747466,0,1.09578,0.804321,-0.00905902,0
0.445721,-0.65413,0,1.09476,0.80606,-0.0100894,0
0.44567,-0.569278,0,1.09347,0.808133,-0.0111299,0
0.445623,-0.49214,0,1.09184,0.810492,-0.0121523,0
0.44558,-0.422015,0,1.08992,0.81308,-0.0131302,0
0.445541,-0.358264,0,1.08771,0.814802,-0.0140114,0
0.469388,-6,0,1.16988,0.8,0,0
0.469052,-5.4292,0,0.992728,0.835968,-0.00677313,0
0.468747,-4.91028,0,1.16217,0.80009,-0.0170425,0
0.46847,-4.43854,0,1.03125,0.803393,0.00402892,0
0.468218,-4.00969,0,1.13368,0.798071,-0.00435748,0
0.467988,-3.61982,0,1.0609,0.79637,0.00197193,0
0.46778,-3.2654,0,1.11327,0.797779,-0.0030356,0
0.46759,-2.9432,0,1.07764,0.797074,-0.000211984,0
0.467418,-2.65028,0,1.10231,0.797812,-0.00255138,0
0.467262,-2.384,0,1.08654,0.797449,-0.00161442,0
0.467119,-2.14192,0,1.09713,0.797921,-0.00277651,0
0.46699,-1.92185,0,1.09084,0.797997,-0.0027617,0
0.466872,-1.72179,0,1.09496,0.798378,-0.0035587,0
0.466765,-1.53992,0,1.0927,0.798779,-0.0039776,0
0.466668,-1.37457,0,1.09406,0.799297,-0.00470588,0
0.46658,-1.22426,0,1.09325,0.799975,-0.00536244,0
0.466499,-1.08762,0,1.09343,0.800772,-0.0061511,0
0.466426,-0.963394,0,1.09289,0.801797,-0.00695965,0
0.46636,-0.850463,0,1.09243,0.803006,-0.00783398,0
0.4663,-0.747799,0,1.09163,0.804517,-0.0087366,0
0.466245,-0.654468,0,1.0906,0.806278,-0.00965994,0
0.466195,-0.569622,0,1.0893,0.808367,-0.0105687,0
0.46615,-0.492489,0,1.08766,0.810738,-0.0114372,0
0.466108,-0.422368,0,1.08574,0.813328,-0.0122436,0
0.466071,-0.358621,0,1.08354,0.815039,-0.0129407,0
0.489796,-6,0,1.16596,0.8,0,0
0.489473,-5.42923,0,0.989057,0.836608,-0.00680954,0
0.489179,-4.91035,0,1.15799,0.799617,-0.0172074,0
0.488912,-4.43864,0,1.02736,0.803095,0.00392355,0
0.488669,-4.00982,0,1.12941,0.798206,-0.00435784,0
0.488448,-3.61998,0,1.057,0.796292,0.0019385,0
0.488247,-3.26557,0,1.10909,0.797879,-0.00307175,0
0.488065,-2.94339,0,1.07368,0.79703,-0.000237951,0
0.487899,-2.6505,0,1.09817,0.797881,-0.00255221,0
0.487748,-2.38423,0,1.08253,0.797447,-0.00161991,0
0.487611,-2.14217,0,1.09303,0.797976,-0.00276805,0
0.487486,-1.92211,0,1.08679,0.798032,-0.00274473,0
0.487373,-1.72206,0,1.09086,0.798443,-0.0035271,0
0.48727,-1.5402,0,1.08863,0.798845,-0.0039323,0
0.487176,-1.37487,0,1.08996,0.799384,-0.00463965,0
0.487091,-1.22457,0,1.08916,0.800075,-0.00526975,0
0.487014,-1.08793,0,1.08932,0.800891,-0.00602189,0
0.486943,-0.963713,0,1.08877,0.801935,-0.00678211,0
0.486879,-0.850789,0,1.0883,0.803164,-0.00759206,0
0.486821,-0.748132,0,1.0875,0.804693,-0.00841107,0
0.486768,-0.654807,0,1.08646,0.80647,-0.00922813,0
0.48672,-0.569966,0,1.08516,0.808566,-0.0100068,0
0.486677,-0.492837,0,1.08352,0.810939,-0.0107244,0
0.486637,-0.422721,0,1.08161,0.813521,-0.0113623,0
0.486601,-0.358979,0,1.07943,0.815215,-0.0118778,0
0.510204,-6,0,1.16201,0.8,0,0
0.509893,-5.42927,0,0.985384,0.837251,-0.00684025,0
0.50961,-4.91042,0,1.15382,0.799146,-0.0173546,0
0.509353,-4.43874,0,1.02348,0.802791,0.00381881,0
0.50912,-4.00994,0,1.12514,0.798338,-0.0043654,0
0.508907,-3.62013,0,1.0531,0.796215,0.00190521,0
0.508714,-3.26575,0,1.10491,0.797979,-0.00310657,0
0.508539,-2.94358,0,1.06973,0.796985,-0.000264657,0
0.508379,-2.65071,0,1.09404,0.797949,-0.00255249,0
0.508234,-2.38446,0,1.07852,0.797444,-0.00162413,0
0.508102,-2.14241,0,1.08893,0.798031,-0.0027584,0
0.507982,-1.92237,0,1.08275,0.798066,-0.00272642,0
0.507873,-1.72233,0,1.08677,0.798505,-0.00349373,0
0.507774,-1.54048,0,1.08456,0.798909,-0.00388488,0
0.507684,-1.37516,0,1.08587,0.799468,-0.00457097,0
0.507602,-1.22487,0,1.08507,0.800171,-0.0051742,0
0.507528,-1.08824,0,1.08522,0.801004,-0.00588934,0
0.50746,-0.964032,0,1.08467,0.802063,-0.00660081,0
0.507399,-0.851115,0,1.08419,0.803308,-0.00734616,0
0.507343,-0.748464,0,1.08338,0.80485,-0.00808174,0
0.507292,-0.655145,0,1.08235,0.806634,-0.00879343,0
0.507246,-0.57031,0,1.08104,0.808729,-0.00944412,0
0.507204,-0.493186,0,1.07942,0.811095,-0.0100136,0
0.507165,-0.423074,0,1.07753,0.813661,-0.0104863,0
0.507131,-0.359336,0,1.07537,0.815328,-0.0108236,0
0.530612,-6,0,1.15803,0.8,0,0
0.530314,-5.4293,0,0.981711,0.837898,-0.0068655,0
0.530042,-4.91049,0,1.14965,0.798678,-0.0174841,0
0.529795,-4.43884,0,1.01961,0.802483,0.00371489,0
