Points_0,Points_1,Points_2,uh_0,uh_1,uh_2
-2.35505,-1.9607,0,1,0,0
-2.13963,-1.7798,0,1,0,0
-1.9438,-1.61535,0,1,0,0
-1.76577,-1.46585,0,1,0,0
-1.60392,-1.32993,0,1,0,0
-1.45679,-1.20638,0,1,0,0
-1.32303,-1.09406,0,1,0,0
-1.20143,-0.991944,0,1,0,0
-1.09089,-0.899114,0,1,0,0
-0.990394,-0.814724,0,1,0,0
-0.899036,-0.738006,0,1,0,0
-0.815983,-0.668262,0,1,0,0
-0.74048,-0.604858,0,1,0,0
-0.671842,-0.547219,0,1,0,0
-0.609443,-0.494819,0,1,0,0
-0.552716,-0.447183,0,1,0,0
-0.501147,-0.403878,0,1,0,0
-0.454266,-0.364509,0,1,0,0
-0.411646,-0.328719,0,1,0,0
-0.372901,-0.296183,0,1,0,0
-0.337679,-0.266605,0,1,0,0
-0.305658,-0.239716,0,1,0,0
-0.276549,-0.215271,0,1,0,0
-4.96604,-3.36726,0,1,0,0
-4.513,-3.05864,0,1,0,0
-4.10114,-2.77808,0,1,0,0
-3.72673,-2.52302,0,1,0,0
-3.38636,-2.29115,0,1,0,0
-3.07692,-2.08035,0,1,0,0
-2.79562,-1.88872,0,1,0,0
-2.53989,-1.71452,0,1,0,0
-2.30741,-1.55614,0,1,0,0
-2.09606,-1.41217,0,1,0,0
-1.90393,-1.28128,0,1,0,0
-1.72926,-1.1623,0,1,0,0
-1.57048,-1.05413,0,1,0,0
-1.42612,-0.955791,0,1,0,0
-1.29489,-0.866395,0,1,0,0
-1.17559,-0.785125,0,1,0,0
-1.06714,-0.711244,0,1,0,0
-0.968546,-0.644079,0,1,0,0
-0.878914,-0.58302,0,1,0,0
-0.797431,-0.527512,0,1,0,0
-0.723355,-0.47705,0,1,0,0
-0.656014,-0.431175,0,1,0,0
-0.594794,-0.389471,0,1,0,0
-0.53914,-0.351558,0,1,0,0
-0.488546,-0.317092,0,1,0,0
-0.44255,-0.285759,0,1,0,0
-0.400737,-0.257274,0,1,0,0
-0.362724,-0.231379,0,1,0,0
-0.328167,-0.207838,0,1,0,0
-0.296752,-0.186438,0,1,0,0
-5.24706,-2.91004,0,1,0,0
-4.76826,-2.64314,0,1,0,0
-4.33298,-2.4005,0,1,0,0
-3.93727,-2.17992,0,1,0,0
-3.57754,-1.97939,0,1,0,0
-3.25051,-1.79709,0,1,0,0
-2.95321,-1.63136,0,1,0,0
-2.68293,-1.4807,0,1,0,0
-2.43723,-1.34374,0,1,0,0
-2.21387,-1.21922,0,1,0,0
-2.01081,-1.10603,0,1,0,0
-1.82621,-1.00313,0,1,0,0
-1.65839,-0.909579,0,1,0,0
-1.50583,-0.824535,0,1,0,0
-1.36713,-0.747222,0,1,0,0
-1.24105,-0.676938,0,1,0,0
-1.12643,-0.613043,0,1,0,0
-1.02222,-0.554957,0,1,0,0
-0.927495,-0.502151,0,1,0,0
-0.841378,-0.454146,0,1,0,0
-0.763089,-0.410505,0,1,0,0
-0.691918,-0.370831,0,1,0,0
-0.627217,-0.334764,0,1,0,0
-0.568397,-0.301976,0,1,0,0
-0.514925,-0.272169,0,1,0,0
-0.466314,-0.245071,0,1,0,0
-0.422123,-0.220437,0,1,0,0
-0.381948,-0.198042,0,1,0,0
-0.345426,-0.177683,0,1,0,0
-0.312224,-0.159175,0,1,0,0
-5.46547,-2.47561,0,1,0,0
-4.96663,-2.24835,0,1,0,0
-4.51313,-2.04175,0,1,0,0
-4.10086,-1.85394,0,1,0,0
-3.72607,-1.6832,0,1,0,0
-3.38535,-1.52798,0,1,0,0
-3.07561,-1.38687,0,1,0,0
-2.79402,-1.25859,0,1,0,0
-2.53804,-1.14197,0,1,0,0
-2.30532,-1.03595,0,1,0,0
-2.09376,-0.939573,0,1,0,0
-1.90144,-0.851955,0,1,0,0
-1.72659,-0.772303,0,1,0,0
-1.56765,-0.699892,0,1,0,0
-1.42315,-0.634064,0,1,0,0
-1.29179,-0.57422,0,1,0,0
-1.17237,-0.519817,0,1,0,0
-1.0638,-0.470359,0,1,0,0
-0.965111,-0.425398,0,1,0,0
-0.875389,-0.384524,0,1,0,0
-0.793824,-0.347365,0,1,0,0
-0.719674,-0.313585,0,1,0,0
-0.652265,-0.282876,0,1,0,0
-0.590984,-0.254958,0,1,0,0
-0.535273,-0.229579,0,1,0,0
-0.484628,-0.206506,0,1,0,0
-0.438586,-0.185531,0,1,0,0
-0.396731,-0.166463,0,1,0,0
-0.35868,-0.149129,0,1,0,0
-0.324088,-0.13337,0,1,0,0
-5.63481,-2.06129,0,1,0,0
-5.12041,-1.87185,0,1,0,0
-4.65278,-1.69964,0,1,0,0
-4.22765,-1.54308,0,1,0,0
-3.84118,-1.40075,0,1,0,0
-3.48984,-1.27136,0,1,0,0
-3.17044,-1.15374,0,1,0,0
-2.88007,-1.0468,0,1,0,0
-2.6161,-0.949592,0,1,0,0
-2.37613,-0.861218,0,1,0,0
-2.15798,-0.780878,0,1,0,0
-1.95966,-0.707842,0,1,0,0
-1.77936,-0.641445,0,1,0,0
-1.61546,-0.581084,0,1,0,0
-1.46646,-0.526211,0,1,0,0
