Points_0,Points_1,Points_2,uh_0,uh_1,uh_2
-3.42546,0.313115,0,1,0,0
-3.4381,0.105944,0,1,0,0
-3.43827,-0.100403,0,1,0,0
-3.42596,-0.307594,0,1,0,0
-3.40061,-0.517309,0,1,0,0
-3.36111,-0.731271,0,1,0,0
-3.30559,-0.951258,0,1,0,0
-3.23133,-1.17911,0,1,0,0
-3.13444,-1.41671,0,1,0,0
-3.00943,-1.66587,0,1,0,0
-2.84853,-1.92812,0,1,0,0
-2.6407,-2.20419,0,1,0,0
-2.37002,-2.49295,0,1,0,0
-2.01323,-2.78903,0,1,0,0
-1.53614,-3.07767,0,1,0,0
-0.888835,-3.32291,0,1,0,0
-0.00277178,-3.43973,0,1,0,0
0.00318451,3.05849,0,1,0,0
-0.784863,2.95608,0,1,0,0
-1.36083,2.73908,0,1,0,0
-1.78551,2.48321,0,1,0,0
-2.10324,2.22053,0,1,0,0
-2.3444,1.96423,0,1,0,0
-2.52965,1.71909,0,1,0,0
-2.67314,1.48618,0,1,0,0
-2.7847,1.26484,0,1,0,0
-2.87124,1.05373,0,1,0,0
-2.93765,0.851253,0,1,0,0
-2.98737,0.65574,0,1,0,0
-3.02285,0.465558,0,1,0,0
-3.04573,0.279128,0,1,0,0
-3.05702,0.0949215,0,1,0,0
-3.05721,-0.0885554,0,1,0,0
-3.04631,-0.272785,0,1,0,0
-3.02382,-0.459262,0,1,0,0
-2.98873,-0.649517,0,1,0,0
-2.93941,-0.845134,0,1,0,0
-2.87343,-1.04775,0,1,0,0
-2.78733,-1.25904,0,1,0,0
-2.67623,-1.48061,0,1,0,0
-2.53322,-1.71382,0,1,0,0
-2.34849,-1.95934,0,1,0,0
-2.10786,-2.21615,0,1,0,0
-1.79068,-2.47949,0,1,0,0
-1.36653,-2.73624,0,1,0,0
-0.791017,-2.95444,0,1,0,0
-0.00318451,-3.05849,0,1,0,0
0.00355973,2.71191,0,1,0,0
-0.695212,2.62129,0,1,0,0
-1.20596,2.42902,0,1,0,0
-1.58258,2.20225,0,1,0,0
-1.86437,1.96941,0,1,0,0
-2.07826,1.74221,0,1,0,0
-2.24258,1.5249,0,1,0,0
-2.36987,1.31841,0,1,0,0
-2.46884,1.12218,0,1,0,0
-2.54563,0.935017,0,1,0,0
-2.60455,0.755498,0,1,0,0
-2.64869,0.582152,0,1,0,0
-2.6802,0.413529,0,1,0,0
-2.70053,0.248231,0,1,0,0
-2.71058,0.084901,0,1,0,0
-2.7108,-0.0777847,0,1,0,0
-2.70117,-0.24114,0,1,0,0
-2.68128,-0.406492,0,1,0,0
-2.65021,-0.575196,0,1,0,0
-2.60653,-0.748658,0,1,0,0
-2.54807,-0.928331,0,1,0,0
-2.47178,-1.11569,0,1,0,0
-2.37332,-1.31218,0,1,0,0
-2.24657,-1.51901,0,1,0,0
-2.08283,-1.73675,0,1,0,0
-1.86954,-1.96451,0,1,0,0
-1.58836,-2.19809,0,1,0,0
-1.21234,-2.42584,0,1,0,0
-0.702092,-2.61945,0,1,0,0
-0.00355973,-2.71191,0,1,0,0
0.00390083,2.39684,0,1,0,0
-0.613712,2.31694,0,1,0,0
-1.06518,2.14715,0,1,0,0
-1.3981,1.94683,0,1,0,0
-1.64722,1.74112,0,1,0,0
-1.83632,1.54037,0,1,0,0
-1.98161,1.34836,0,1,0,0
-2.09417,1.16589,0,1,0,0
-2.1817,0.99249,0,1,0,0
-2.24961,0.827093,0,1,0,0
-2.30174,0.668448,0,1,0,0
-2.3408,0.515254,0,1,0,0
-2.36869,0.366231,0,1,0,0
-2.38671,0.220142,0,1,0,0
-2.39564,0.0757913,0,1,0,0
-2.39587,-0.0679932,0,1,0,0
-2.38741,-0.212373,0,1,0,0
-2.36987,-0.358519,0,1,0,0
-2.34247,-0.507632,0,1,0,0
-2.30391,-0.660952,0,1,0,0
-2.25229,-0.819767,0,1,0,0
-2.18492,-0.985384,0,1,0,0
